題號,題目,選項1,選項2,選項3,選項4,答案,答案精簡說明
125,某平價服飾品牌在換季折扣時推出「全館 5 折」，結果銷量隨即暴增 10 倍，營收大幅成長。這種對價格變動極為敏感的現象，說明該產品的需求特性為？,富有彈性 (Elastic),缺乏彈性,中性彈性,負向彈性,1,1.正確： 需求富有彈性代表價格變動對需求影響大，促銷通常能達到顯著效果。<br>2.錯誤： (B) 則與此現象相反。
126,某企業開發 A 產品，固定成本為 100 萬元，每單位變動成本為 200 元。若欲以每單位 400 元販售，其「損益兩平點」的銷售量應為多少單位？,"2,500 單位","5,000 單位","10,000 單位","20,000 單位",2,"1.正確： 損益兩平點 = 固定成本 / (單價 - 單位變動成本) = 1,000,000 / (400 - 200) = 5,000 單位。<br>2.錯誤： 其他選項計算邏輯有誤。"
127,"某電商平台在雙 11 活動中將所有特惠商品的價格訂為 499 元、1,299 元等。這種利用消費者心理覺得「不到整數、比較划算」的定價法是？",整數定價,畸零定價法 (Odd Pricing),習慣定價,撇脂定價,2,1.正確： 畸零定價法透過尾數為 9 或 7 的奇數，給予消費者划算的心理印象。<br>2.錯誤： (A) 常用 0 結尾顯尊貴；(C) 為固定價區間。
128,法拉利 (Ferrari) 或勞力士 (Rolex) 等品牌常透過極高售價來體現產品價值，讓購買者產生襯托地位與品味的心理滿足感。此策略屬於？,聲望定價法 (Prestige Pricing),滲透定價法,成本加成定價,市場行情定價,1,1.正確： 聲望定價法利用高價格象徵地位，滿足消費者虛榮心或展現品牌價值。<br>2.錯誤： (B)(C)(D) 皆不具備塑造「尊榮地位」的核心目的。
129,麥當勞將「大麥克」單點價格訂為 75 元，「大杯可樂」訂為 40 元，但若消費者購買「1 號套餐（含大麥克與可樂）」只需 100 元。此做法稱為？,產品線定價,互補品定價,綑綁式定價 (Bundling),逆向定價,3,1.正確： 綑綁（配套）定價是將數種產品組合在一起，並以低於單買總和的折扣價販售。<br>2.錯誤： (B) 為耗材高價；(D) 為需求推回成本。
130,企業在訂定產品價格時，除了考量內部的「成本結構」與「定價目標」外，還必須全面分析外部環境中的哪兩大因素？,員工流動率與生產設備,競爭強度與消費者需求狀況,企業識別系統與廣告預算,研發水準與產品組合深度,2,1.正確： 好的定價策略需透徹了解市場狀況、競爭者能力與消費者需求。<br>2.錯誤： (A)(C)(D) 雖與營運有關，但非決定市場價格的核心外部變數。
131,某連鎖藥妝店（如屈臣氏）在同一商圈內的 A 分店與 B 分店，為了爭奪業績，私自針對相同商品進行削價競爭並互相惡意投訴。這屬於哪一種類型的通路衝突？,垂直衝突,水平衝突,多重通路衝突,跨國通路衝突,2,1.正確： 水平衝突發生在通路中「同一層級」成員之間（如零售商對零售商）。<br>2.錯誤： (A) 為上下游衝突；(C) 為不同類型通路（如官網對實體店）的衝突。
132,台灣某知名手搖飲品牌欲進軍馬來西亞，考量當地法令規定外國人不得經營特定零售業，且希望降低初期投資風險並善用當地夥伴的人脈與管理經驗。該品牌應優先採取哪種進入策略？,直接出口,授權 (Licensing) 或加盟,獨資直接投資,間接出口,2,1.正確： 授權可利用當地夥伴分擔風險，且常用於應對限制外資經營的法令規範。<br>2.錯誤： (A)(D) 涉及產品出口而非經營權；(C) 風險高且可能受限法律禁止。
133,Netflix 在全球擴張時，除了提供當地語言的字幕與配音，更確保「使用者介面」與「客戶支援」均以當地語系呈現。此策略的主要目的為何？,降低海外市場的營運成本,提高品牌在銷售地區的市場接受度,簡化全球供應鏈管理流程,確保全球品牌形象的高度標準化,2,1.正確： 本地化適應策略旨在調整品牌元素，以提高當地消費者的接受度與偏好。<br>2.錯誤： (A) 本地化會增加成本；(D) 標準化策略才強調高度一致。
134,寶僑公司（P&G）因具備極高的品牌力與市場規模，能對通路商（如超市、量販店）產生強大的影響力，使其必須配合 P&G 的陳列與促銷規則，但雙方並未簽訂排他性的所有權合約。這屬於哪種垂直行銷系統？,企業式 VMS,契約式 VMS,管理式 VMS,合作式 VMS,3,1.正確： 管理式 VMS 是靠其中一方的規模或權力來協調通路行為，而非靠合約或所有權。<br>2.錯誤： (A) 需具備所有權（一條龍）；(B) 需具備合約（如加盟）。
135,某頂級醫學美容護膚品牌，僅選擇在具有專業諮詢能力的特定連鎖藥局或醫院內販售，不准進入一般超市或量販通路。這種配銷密度策略稱為？,密集配銷,選擇配銷 (Selective Distribution),獨家配銷,跨國配銷,2,1.正確： 選擇配銷係指選定數家符合特定條件（如專業服務能力）的中間商進行販售。<br>2.錯誤： (A) 追求隨處可買；(C) 指全區僅授權一家。
136,某家電大廠為了打擊國外競爭對手，以「低於本國市場價格」或「低於生產成本」的方式，將大量產品出口至該國市場。若經貿易調查屬實，該廠最可能面臨哪種法律制裁？,補償性關稅,課徵高額「反傾銷稅」,沒收商標權,罰緩 20 萬台幣,2,1.正確： 傾銷是指以低價出口破壞公平競爭，後果是面臨反傾銷稅。<br>2.錯誤： (C) 法律制裁通常為經濟稅收面；(D) 罰則通常依貿易額計算，遠超此數額。
137,某台灣科技公司在選擇國際市場時，優先挑選語言相同、法律制度相近且文化習俗類似的國家。這種市場選擇原則是基於下列哪一個概念？,規模經濟,心理接近性 (Psychic Proximity),國族優越感,絕對優勢,2,1.正確： 心理接近性指企業傾向進入語言、法律、文化接近的國家以降低不確定性。<br>2.錯誤： (A) 涉及產量；(C) 是消費者偏好自家產品。
138,某微型農場將其生產的精品茶葉賣給國內的「貿易公司」，再由貿易公司負責與美國通路洽談出口事宜。對於該「農場」而言，這屬於哪種進入模式？,直接出口,間接出口,直接投資,品牌延伸,2,1.正確： 間接出口是透過國內中間商（如貿易公司）代理出口事宜，農場不直接面對外國市場。<br>2.錯誤： (A) 需自設出口部門直接面對國外。
139,瑞典服飾品牌 H&M 擁有自己的設計團隊，並直接經營全球各地的零售門市，實現從設計、製造（外包）到零售的高度整合。這種一條龍的通路模式屬於？,企業式 VMS,契約式 VMS,管理式 VMS,多重通路系統,1,1.正確： 企業式 VMS 透過所有權統一通路各階層，實現高度控制。<br>2.錯誤： (B) 核心為合約（如加盟商）；(C) 核心為品牌權力影響。
140,消費者購買保養品時，只要看到標示「Made in Switzerland」，就會自動聯想到「純淨、科技、高品質」。這種由製造地影響產品形象的機制稱為？,國族優越感,來源國效應 (Country-of-origin effect),品牌稀釋,品牌識別,2,1.正確： 來源國效應指消費者因產品來源國而產生正面或負面的特殊聯想。<br>2.錯誤： (A) 是偏好「本國」產品的傾向；(C) 是延伸失敗的後果。
141,某企業聘請外部設計師開發新款商標，但在「專案委外合約」中漏未約定著作權的歸屬。根據我國《著作權法》，若該企業已支付價金，則該商標的「著作人」與「著作財產權」歸屬為何？,企業為著作人，設計師擁有財產權,設計師為著作人，企業擁有財產權,設計師為著作人且擁有財產權，企業僅有使用權,該商標自動進入公有領域，不具權利歸屬,3,1. 正確： 出資聘人完成之著作，若未約定，以受聘人（設計師）為著作人並享有著作權，出資人僅得利用。<br>2. 錯誤： 合約中若無特別約定，權利不會自動轉移給出資企業。
142,某專業顧問公司向客戶承諾「本週五下午五點前交付品牌診斷報告」，但最後卻因內部行政疏失延至下週一才提供。在 PZB 服務品質模型中，這具體損害了哪一個維度？,有形性 (Tangibles),可靠性 (Reliability),回應性 (Responsiveness),同理心 (Empathy),2,1. 正確： 可靠性指精確履行所承諾服務的能力，如準時交付。<br>2. 錯誤： (C) 是指快速處理突發狀況或補償，(A) 指設備外觀，(D) 指個別關懷。
143,行銷經理在執行為期三個月的「品牌週年慶」專案後進行績效評估，發現實際 KPI 達成率僅 60%。根據行銷管控流程，經理此時應採取的「第一步」關鍵行動為何？,立即修改下半年度的 KPI 數字,召開分析會議尋找未達標的根本原因,撤換負責該專案的所有基層員工,投入兩倍的預算進行補救性廣告,2,1. 正確： 當活動成效不佳，首要任務是「分析原因」而非盲目調整預算或人員。<br>2. 錯誤： 其他選項皆為未經診斷後的草率行動。
144,2024 年可口可樂旗下的「bonaqua® 怡漾」在臺灣推出 100% rPET（再生聚酯）瓶裝水，傳遞「每一次購買也是環境行動」。此策略主要是為了建立品牌權益中的哪一項關鍵連結？,產品的物理屬性利益,正面的品牌聯想（環境承諾）與忠誠,降低通路端的營運與配送成本,提升產品在盲測中的口感感知,2,1. 正確： ESG 行銷旨在強化正向的品牌聯想，引導消費者產生心理認同與忠誠。<br>2. 錯誤： (A) 屬產品功能面，(D) 屬主觀品質。
145,A 品牌與 B 品牌決定採取「品牌聯合 (Co-Branding)」推出限量口罩。若在活動期間，B 品牌突然爆發嚴重的勞資糾紛負面新聞，導致 A 品牌的形象也隨之受損。這種現象在品牌管理中稱為？,品牌線性延伸,品牌溢價效應,品牌負面溢出或稀釋風險,品牌多元化,3,1. 正確： 品牌聯合雖具綜效，但也存在「風險連動」的特性，一方出事會稀釋另一方的權益。<br>2. 錯誤： (A)(B)(D) 皆為正面描述或不同策略。
146,迪士尼（Disney）將米老鼠形象授權給臺灣某連鎖茶飲店使用三個月，以作為杯身裝飾，茶飲店則支付定額授權費。這種品牌擁有權的應用方式屬於？,製造商品牌,自有品牌,授權品牌 (Licensing),共同品牌,3,1. 正確： 授權品牌是指品牌所有者授予他人使用資產權利以換取許可費。<br>2. 錯誤： (B) 屬零售商自行開發，(D) 屬雙方共同開發新產品。
147,某企業欲調查「iPAS 品牌企劃師考生的年齡分布、準備時間以及對教材的滿意度統計」。這種旨在「描述現象特徵或人口統計特質」的研究屬於？,探索性研究,敘述性研究 (Descriptive Research),因果性研究,實驗研究法,2,1. 正確： 敘述性研究用於描述市場現象、消費者特徵或統計偏好。<br>2. 錯誤： (A) 旨在挖掘未知需求，(C)(D) 旨在驗證變數間關係。
148,某跨國家電集團為了搶佔市場，以「低於成本」的價格在歐洲大量傾銷洗衣機，導致當地廠商面臨破產。若該行為經貿易組織裁定屬實，該集團最可能面臨？,商標權被撤銷,被課徵「反傾銷稅」,限制進入所有社群媒體,罰緩台幣 10 萬元,2,1. 正確： 傾銷是指以不公平低價出口，國際法對此通常採課徵反傾銷稅作為制裁 。<br>2. 錯誤： (A) 屬智財權範疇，(D) 金額遠低於國際貿易懲罰標準。
149,消費者在理髮店剪髮時，必須親自到場參與服務過程，且設計師的技術與消費者的感受會同時發生。此案例體現了服務的哪項核心特性？,無形性 (Intangibility),不可分割性 (Inseparability),易逝性 (Perishability),單一性,2,1. 正確： 不可分割性指服務的生產與消費同時發生，且顧客必須參與其中。<br>2. 錯誤： (A) 指觸摸不到，(C) 指無法庫存儲存。
150,當某款智慧手錶進入「成熟期」後，市場上充斥著功能相仿的競爭者。根據產品生命週期策略，品牌此時應如何調整其推廣計畫？,減少所有行銷預算並退出市場,強化產品獨特性以吸引創新者,透過「換包裝、拚促銷」防禦競爭並穩固忠誠,僅運用低成本管道進行服務,3,"1. 正確： 成熟期（紅海）需透過行銷組合的微調（如促銷、換裝）來維持市佔,。<br>2. 錯誤： (A) 屬衰退期，(B) 屬導入期。"
151,某連鎖咖啡品牌希望當消費者在 Google 搜尋「手沖咖啡推薦」時，自家的官方網站能自然出現在搜尋結果的前幾名，且企業「不打算」支付每一筆點擊費用。該品牌應優先投入資源於？,關鍵字廣告 (SEM),搜尋引擎優化 (SEO),再行銷 (Retargeting),橫幅展示廣告,2,1.正確： SEO 透過優化內容與網站架構爭取「自然排名」，無需支付點擊費。<br>2.錯誤： (A) 為付費排名；(C) 針對舊客；(D) 屬視覺展示，與搜尋排名無直接關係。
152,行銷人員在 Facebook 廣告的推廣網址後加上「utm_source=facebook&utm_medium=cpc」等標籤參數。在數位行銷實務中，此做法最核心的目的為何？,加快消費者進入官網的速度,精準追蹤並辨識流量的來源與屬性成效,提高該網站在搜尋引擎的權重,避免競爭對手複製廣告文案,2,1.正確： UTM 參數用於辨識訪客從哪個管道（如 FB、KOL、Email）進入網站，以利評估成效。<br>2.錯誤： (A)(C)(D) 皆與 UTM 參數的追蹤功能無關。
153,某服飾品牌為了實現「個人化推薦」，導入系統將線下門市 POS 資料、線上官網瀏覽行為以及 APP 點擊記錄進行彙整與清洗，建立統一的客戶檔案。這類 MarTech 工具稱為？,DMP (數據管理平台),CDP (客戶數據平台),ERP (企業資源規劃),CRM (客戶關係管理),2,1.正確： CDP 優勢在於整合各渠道的第一方數據進行受眾分眾，實現個人化推薦。<br>2.錯誤： (A) 側重於第三方匿名數據廣告投放；(C) 屬後端管理；(D) 傳統 CRM 較難整合線上即時行為。
154,某電商執行雙 11 活動，投入 5 萬元廣告費，帶來 40 萬元營收。若產品進貨成本為 10 萬元，運費與人力成本為 5 萬元，則該活動的「ROAS」與「ROI」分別為何？,ROAS=8 / ROI=100%,ROAS=4 / ROI=150%,ROAS=8 / ROI=125%,ROAS=2 / ROI=200%,1,1.正確： ROAS = 40/5 = 8；ROI = (40 - (5+10+5)) / (5+10+5) = 20/20 = 100%。<br>2.錯誤： ROI 必須考慮總成本，ROAS 僅計算廣告支出。
155,小華看到運動鞋廣告後 (Attention) 產生興趣 (Interest)，主動上網搜尋評價 (Search)，隨即在電商下單 (Action) 並在社群貼文推薦 (Share)。這體現了哪種數位消費模型？,AIDA 模型,AIDMA 模型,AISAS 模型,4P 行銷組合,3,1.正確： AISAS 是數位時代特有模型，包含關鍵的「搜尋 (Search)」與「分享 (Share)」環節。<br>2.錯誤： (A) 缺乏搜尋與分享；(B) 重點在記憶 (Memory)。
156,2024 年 Apple 宣布進軍生成式 AI，推出「Apple Intelligence」並強調隱私保護優勢。從品牌權益角度看，這項新功能「較無法」立即強化下列哪一個關鍵因素？,提升品牌知名度,建立科技領先的品牌聯想,顯著降低舊款產品的庫存壓力,鞏固高價值品牌的定位,3,1.正確： 高科技功能開發通常是為了提升形象與定位，對於「清理舊款庫存」無直接關聯。<br>2.錯誤： (A)(B)(D) 皆為該 AI 策略對品牌權益的正面貢獻。
157,某手搖飲品牌因為與熱門動漫聯名，引發網友在 Dcard 及 Threads 上自發性大量發文討論與開箱，進而帶動業績成長。這在媒體分類中屬於？,付費媒體 (Paid Media),自有媒體 (Owned Media),賺得媒體 (Earned Media),共用媒體 (Shared Media),3,1.正確： 賺得媒體 (Earned) 指非付費、非自有的第三方自發性好評或口碑。<br>2.錯誤： (A) 需花錢購買；(B) 為官方自營。
158,某電商發現許多消費者將「掃地機器人」加入購物車卻未結帳。若行銷經理決定針對這群「曾有購物意圖的特定用戶」再次投放提醒廣告，此做法稱為？,病毒行銷,再行銷 (Retargeting),直效行銷,公共關係議題操作,2,1.正確： 再行銷是精準鎖定曾與品牌互動但未完成轉算的受眾再次溝通。<br>2.錯誤： (A) 強調擴散；(C) 是主動聯繫（如電話/Email）；(D) 旨在建立公信力。
159,活動結束後，報表顯示廣告的「點擊率 (CTR)」很高，但網站的「轉換率 (CVR)」卻遠低於平均。下列何種情境分析「最不合理」？,廣告文案極具吸引力，成功引發好奇,網站著陸頁 (Landing Page) 的下單流程過於複雜,產品本身的定價顯著高於市場預期,該廣告投放的預算不足，導致曝光次數太少,4,1.正確： 預算少會影響「曝光量」，但不直接導致「點擊後不轉化」的問題。<br>2.錯誤： (A)(B)(C) 皆為導致點擊率高但轉換率低的常見實務原因。
160,迎戰 2026 年 AI 代理商機，品牌若希望自己的產品能被 AI 推薦給消費者，官網應優先進行何種轉型？,減少文字敘述，改以全動態影片呈現,採用 Schema 標籤與結構化數據以利 AI 判讀,僅限於在社群媒體發布感性文案,停止官網營運，將預算全部投入電視廣告,2,1.正確： AI 判讀側重於結構化的文字與數據，良好的標籤標記能增加品牌被 AI 收錄與推薦的機會 。<br>2.錯誤： (A) AI 目前判讀影片成本較高；(C)(D) 與 AI 判讀邏輯不符。
161,某行銷經理在撰寫「年度品牌推廣企劃書」時，運用 5W2H1E 框架進行檢視。其中「How much」與「Effect」分別代表企劃書中的哪兩個核心項目？,執行人力、執行地點,預算編列、預期效益,執行方式、社會責任,產品單價、銷售通路,2,"1.正確： 根據 5W2H1E 架構，「How much」指預算與成本，「Effect」指活動效果與效益。<br>2.錯誤： (A)(C)(D) 分別涉及 Who, Where, How 等其他維度。"
162,某運動品牌在執行為期一個月的快閃店活動後，發現實際進店人數僅達目標 KPI 的 50%。根據行銷管控流程，經理在會議中首先應採取的「第一步」行動為何？,立即將下個月的廣告預算加倍,修改 KPI 數字以符合現況成效,召開檢討會議並深度分析未達標原因,撤換該活動的所有現場執行人員,3,1.正確： 當 KPI 未達標，首要任務是召開會議分析原因，以便對症下藥。<br>2.錯誤： 其他選項皆為未經診斷的盲目行動，可能導致資源進一步浪費。
163,專案經理為了確保「品牌視覺識別系統 (CIS) 重塑」專案能如期完成，繪製了一份詳細的時間進度表，標明各項工作任務、負責人與起訖日期。此種管理工具最可能稱為？,魚骨圖,甘特圖 (Gantt Chart),雷達圖,產品定位圖,2,1.正確： 甘特圖是專案管理中最常用於追蹤時程、工作任務與進度的工具。<br>2.錯誤： (A)分析原因；(C)多指標評估；(D)分析競爭位置。
164,某飯店舉辦完「夏季美食節」活動後進行績效評比，下列哪些項目應被包含在「活動後評估」的範圍內？(a) 贊助商反饋 (b) 參與者滿意度調查 (c) 媒體報導量分析 (d) 實際營收與預算對照,僅 (b)(d),僅 (a)(b)(c),僅 (b)(c)(d),(a)(b)(c)(d) 皆包含,4,1.正確： 活動後評估應包含目標達成檢視、贊助商反饋、滿意度調查與各項數據分析。<br>2.錯誤： 評估應全面，選項中皆為標準評估項目。
165,在進行品牌管理程序時，企業定期針對品牌健康狀況、聯想強度及市場表現進行系統性的全面評估，這在專業術語中稱為？,品牌定位,品牌行銷組合,品牌稽核 (Brand Audit),品牌授權,3,1.正確： 品牌稽核旨在透過內外部調查評估品牌健康度與資產價值。<br>2.錯誤： (A)是找定位；(B)是工具組合；(D)是權利轉讓。
166,某家電企業利用 BCG 矩陣進行事業部資源分配。若其中「掃地機器人」部門被分類為「明星 (Star)」，根據管理邏輯，公司對該部門應採取何種資源策略？,大量投入資金以維持高成長並擴大市佔,減少支出並設法回收殘餘利潤,保持現狀，將其產出的現金流轉給其他部門,立即結束營運以避免進一步虧損,1,1.正確： 明星事業具高成長、高市佔，需大量投資以轉化為未來的金牛。<br>2.錯誤： (B)屬衰退期；(C)屬金牛策略；(D)屬落水狗策略。
167,企業內部「研發部」設計出功能頂尖的產品，但「行銷部」卻認為產品外型不符品牌美學而拒絕推廣，導致專案停擺。根據 IMC 七層次，這代表該企業在管理上缺乏？,利益關係人整合,垂直行銷系統整合,知覺整合 (Perception),財務數據整合,3,1.正確： 知覺整合要求內部對品牌核心價值與方向達成共識，避免各部門認知衝突。<br>2.錯誤： (B)涉及通路上下游；(A)涉及外部關係人。
168,在撰寫行銷企劃書時，若要評估「企業內部資源」與「外部市場環境」的匹配程度，最常使用的情境分析工具是？,五力分析,PEST 分析,SWOT 分析,4P 分析,3,1.正確： SWOT 分析結合了內部優劣勢 (SW) 與外部機會威脅 (OT)。<br>2.錯誤： (A)(B) 偏重外部環境；(D) 屬執行面工具。
169,行銷人員在執行「KOL 開箱合作」專案時，應如何有效管控風險以確保品牌形象？,簽訂詳細合約明確規範言論、交稿時間與著作權歸屬,僅透過電話口頭約定以維持良好關係,讓 KOL 完全自由發揮，不干預任何內容,合作結束後再考慮合約事宜,1,1.正確： 完善的合約與規範是專案風險管控的核心，可保障品牌法律權益。<br>2.錯誤： (B) 缺乏保障；(C) 風險過高；(D) 為時已晚。
170,某連鎖茶飲品牌進入「成熟期」後，競爭者競相推出相似產品。為了「防禦競爭」並「穩固忠誠度」，下列哪項執行計畫最適當？,投入鉅額廣告進行大規模產品教育,推出會員回饋計畫與點數加倍活動,提高售價以獲取早期採用者利潤,暫停所有行銷活動以節省成本,2,1.正確： 成熟期重點在於防禦競爭、留住舊客並強化忠誠關係。<br>2.錯誤： (A)屬導入期；(C)屬撇脂定價；(D)屬衰退期做法。
171,某企業重塑品牌時，將「創新、透明」的核心價值觀轉化為具體的員工服務手冊與辦公空間開放化準則。在 CIS 企業識別系統中，這項「將理念轉化為行為規範」的過程屬於哪一子系統？,MI (理念識別),BI (行為識別),VI (視覺識別),AI (人工智慧識別),2,1.正確： BI 是將企業理念 (MI) 具體化為對內外的行為規範、服務手冊與活動。<br>2.錯誤： (A) 為心法與核心價值本身；(C) 為圖形與標誌等視覺呈現。
172,某五星級飯店全面更換由大師設計的制服，並重新布置具藝術感的接待大廳，旨在讓顧客在接觸服務前便能感受到品牌質感。在 PZB 服務品質模型中，這強化了哪一維度？,可靠性 (Reliability),回應性 (Responsiveness),有形性 (Tangibles),同理心 (Empathy),3,1.正確： 有形性是指服務的物質設施、人員與溝通器材的外觀與質感。<br>2.錯誤： (A) 指準確履行承諾；(B) 指處理問題的速度；(D) 指對客人的個別關懷。
173,蘋果 (Apple) 產品包裝開啟時的「阻尼感」經過精密設計，旨在傳遞高品質的工藝承諾。這種透過非語言的視覺、觸覺來傳達價值的展現，在品牌識別中稱為？,品牌美學與感官策略,撇脂定價策略,密集配銷策略,產品線向上延伸,1,1.正確： 視覺識別 (VI) 與美學策略能透過感官體驗（如包裝阻尼感）讓人一眼記住品牌價值。<br>2.錯誤： (B)(C)(D) 皆與美學及感官體驗無直接關聯。
174,某精品腕錶推出「極簡中性款」，強調打破標籤的「自由意志與獨特自我」，成功吸引年輕數位原住民。這主要是在傳遞品牌價值主張中的哪一個層次？,功能性利益,情感性利益,自我表達利益,物理性利益,3,1.正確： 自我表達利益強調品牌反映消費者的個性、地位或生活風格（如自由意志）。<br>2.錯誤： (A) 指解決看時間的問題；(B) 側重於使用時產生的內在心情（如快樂）。
175,麥當勞全球雖維持金色 M 字標誌，但在法國卻將部分門市改為墨綠色裝潢以融入歷史街景。此種在全球一致性下進行的美學微調策略稱為？,完全標準化策略,本地化適應策略,品牌多元化策略,品牌稀釋策略,2,1.正確： 本地化適應會根據當地文化與美學偏好調整品牌元素（如顏色），增加接受度。<br>2.錯誤： (A) 強調全球完全相同。
176,2026 年起，許多永續品牌開始採用「減墨印刷」或「無色包裝」設計。這項美學選擇最直接回應了品牌在 ESG 中哪一項關鍵指標？,社會包容 (S),環境承諾 (E),治理透明 (G),財務績效 (G),2,1.正確： 減少墨水使用與簡化包裝是落實環境保護 (Environmental) 承諾的視覺策略展現。<br>2.錯誤： (A)(C)(D) 非減墨設計首要對應的核心面向。
177,某智慧家電品牌利用生成式 AI 建立「虛擬品牌大使」，能依據顧客語氣進行動態的情感對話。此 MarTech 應用在品牌經營上的核心目標為何？,降低物流配送成本,建立品牌聯想與深層情感連結,取代官網的商標註冊,增加產品組合的寬度,1,1.正確： 透過 AI 與用戶進行具溫度的動態互動，能協助品牌建立獨特的品牌聯想與信任感。<br>2.錯誤： (B) 涉及物流；(C) 法律程序不可取代；(D) 指產品線類別數量。
178,統一超商的「Open 醬」角色，其親民可愛的形象讓消費者對企業產生「溫暖、陪伴」的感受。這在品牌行銷術語中稱為？,品牌定位,品牌人格 (Brand Personality),品牌權益,品牌生命週期,2,1.正確： 品牌人格賦予品牌擬人化特徵（如溫暖、親民），增加消費者情感共鳴。<br>2.錯誤： (A) 為市場位置；(C) 為資產價值；(D) 為發展階段。
179,某連鎖影城在平日下午推出「美學限定場次」並搭配 7 折優惠，旨在吸引對價格敏感的學生群以補足空位損失。此舉是為了解決服務的哪項特性？,無形性 (Intangibility),異質性 (Heterogeneity),易逝性 (Perishability),不可分割性 (Inseparability),3,1.正確： 易逝性指服務產能若未在當下售出便會永久流失，需透過彈性定價調節需求。<br>2.錯誤： (A) 指觸不到；(B) 指品質不一。
180,品牌在設計 APP 介面時採用「通用設計 (Universal Design)」，確保色盲或高齡用戶也能輕鬆閱讀。這種美學智慧應用有助於強化？,撇脂定價的能力,品牌偏好與社會責任形象,產品線的深度,品牌類別延伸,2,1.正確： 通用設計體現了品牌對多元族群的關懷，能有效提升品牌形象與認同度。<br>2.錯誤： (A) 為高價策略；(C)(D) 為產品組合維度。
181,某服飾電商未獲授權便截取 IG 名模公開照片製成廣告橫幅，並在粉專寫道：「名模都這樣穿！」此行為最可能面臨哪些法律風險？,侵犯名模著作權（未經同意重製）與肖像權（營利目的使用）,侵犯肖像權與照片攝影師的著作權,僅侵犯商標法，因為衣服上有 Logo,該行為屬正當利用，因名模為公眾人物,2,1.正確： 營利使用他人肖像侵犯肖像權，且照片原創性屬於攝影師，擅自使用涉及侵犯著作權。<br>2.錯誤： (D) 營利目的不符合合理使用。
182,關於「商標權」的獲取與保護特性，下列敘述何者符合現行法律規範？,公司名稱經過登記後，即自動取得商標權保護,完成商標設計後，著作權法即提供與商標法相同的排他性保護,商標權採取屬地主義，需在當地法律規定下申請始受保護,商標權一旦註冊成功即永久有效，無需展延,3,1.正確： 商標權具屬地主義特性，必須在該地區依法申請註冊。<br>2.錯誤： (A) 公司名與商標權法源不同；(D) 需每 10 年展延一次。
183,某企業為了打擊對手，刻意設計極為相似的包裝與品牌名稱，試圖讓消費者感到混淆以利銷售。關於此行為之敘述何者正確？,基於競爭自由，只要沒盜用原圖即屬合法,此為常見且合法的行銷手法,不可以用近似的包裝或品牌讓消費者感到混淆,只要不違反著作權法，模仿包裝是合法的,3,1.正確： 法律不允許使用近似包裝或品牌使消費者產生來源混淆。<br>2.錯誤： (A)(B)(D) 皆低估了商標法與公平交易法對品牌識別的保護。
184,品牌企劃師需瞭解法律保護。關於「廣告設計、品牌故事」與「具有識別度的商標」，分別受何種法律的主要保護？,著作權法；商標法,商標法；專利法,營業秘密法；專利法,商標法；營業秘密法,1,1.正確： 廣告文案與故事屬文字/圖形創作（著作權），商標標誌屬識別標識（商標法）。<br>2.錯誤： (B)(C) 與產品識別特徵不符。
185,關於行銷企劃專案之「風險管理」，正確的操作流程應為何？,分析→識別→監控→應對,識別→分析→安排優先順序→指派負責人→監控→應對,應對→監控→分析→識別,識別→監控→應對→結束,2,1.正確： 標準流程為識別風險、分析、排優先級、指派任務、持續監控並執行應對。<br>2.錯誤： 流程順序不可顛倒。
186,關於「著名商標」的認定標準，下列敘述何者「錯誤」？,著名商標是指客觀證據認定廣為相關消費者所普遍認知者,商標宣傳的期間與範圍是認定著名商標的參酌因素,外國商標若未在我國註冊，絕對不具備著名商標的保護地位,外國著名商標之認定可考量該地域與我國的關係,3,1.正確： 外國商標若已廣為我國消費者知曉，即便未註冊亦可能受著名商標之相關保護。<br>2.錯誤： (A)(B)(D) 皆為認定著名商標之正確因素。
187,消費者在電商平台購買商品，收到後因不滿意欲解除契約。根據消費者保護法規，下列做法何者正確？,企業應於收到通知次日起 15 日內至原處所取回商品,消費者應於 15 日內將商品自行送還廠商處,消費者必須親自送回，不可委託他人,解除契約後，消費者需自付運費且不可退款,1,1.正確： 企業主應於收到通知後 15 日內，主動至約定處所取回商品。<br>2.錯誤： (B) 法規規定是企業取回。
188,某品牌專案經理在評估執行成效時，發現「成本績效指標 (CPI)」大於 1，這代表該專案目前的財務狀況為何？,實際成本高於預算，成本控制不佳,實際成本低於預算，成本控制得宜,專案進度大幅落後,專案已完成工作量少於預排工作量,2,1.正確： CPI 值大於或等於 1 表示實際成本低於預算，表現佳。<br>2.錯誤： (A) 為 CPI 小於 1 的狀況；(C)(D) 與時程指標 (SPI) 相關。
189,三星 (Samsung) 將所有家電與手機皆冠以母品牌名，這種「家族品牌」策略相對於「個別品牌」的最主要優勢為何？,可確保所有產品維持差異化定位,品牌名稱穩定性最強,集中資源於單一品牌，節省新品牌建立成本,可利於既有品牌聲譽背書並分散風險,3,1.正確： 家族品牌核心優勢在於集中行銷資源，減少開發新品牌的巨額支出。<br>2.錯誤： (D) 家族品牌若單一產品出事，風險會產生連動，不易分散。
